attack_name;attack_type;attack_accuracy;attack_power
psych-up;normal;;
ancient-power;rock;100;60
shadow-ball;ghost;100;80
rock-smash;fighting;100;40
whirlpool;water;85;35
fake-out;normal;100;40
uproar;normal;100;90
heat-wave;fire;90;95
hail;ice;;
torment;dark;100;
will-o-wisp;fire;85;
facade;normal;100;70
focus-punch;fighting;100;150
nature-power;normal;;
taunt;dark;100;
helping-hand;normal;;
trick;psychic;100;
role-play;psychic;;
superpower;fighting;100;120
magic-coat;psychic;;
recycle;normal;;
brick-break;fighting;100;75
knock-off;dark;100;65
endeavor;normal;100;
skill-swap;psychic;;
snatch;dark;;
secret-power;normal;100;70
dive;water;100;80
hyper-voice;normal;100;90
air-cutter;flying;95;60
overheat;fire;90;130
rock-tomb;rock;95;60
silver-wind;bug;100;60
signal-beam;bug;100;75
bullet-seed;grass;100;25
aerial-ace;flying;;60
iron-defense;steel;;
block;normal;;
dragon-claw;dragon;100;80
bulk-up;fighting;;
bounce;flying;85;85
covet;normal;100;60
calm-mind;psychic;;
shock-wave;electric;;60
water-pulse;water;100;60
roost;flying;;
gravity;psychic;;
gyro-ball;steel;100;
brine;water;100;65
natural-gift;normal;100;
pluck;flying;100;60
tailwind;flying;;
u-turn;bug;100;70
payback;dark;100;50
embargo;dark;100;
fling;dark;100;
gastro-acid;poison;100;
me-first;normal;;
last-resort;normal;100;140
worry-seed;grass;100;
sucker-punch;dark;100;80
magnet-rise;electric;;
aura-sphere;fighting;;80
rock-polish;rock;;
poison-jab;poison;100;80
dark-pulse;dark;100;80
aqua-tail;water;90;90
seed-bomb;grass;100;80
x-scissor;bug;100;80
dragon-pulse;dragon;100;85
drain-punch;fighting;100;75
vacuum-wave;fighting;100;40
focus-blast;fighting;70;120
energy-ball;grass;100;90
earth-power;ground;100;90
giga-impact;normal;90;150
nasty-plot;dark;;
avalanche;ice;100;60
shadow-claw;ghost;100;70
zen-headbutt;psychic;90;80
flash-cannon;steel;100;80
rock-climb;normal;85;90
defog;flying;;
trick-room;psychic;;
gunk-shot;poison;80;120
iron-head;steel;100;80
stone-edge;rock;80;100
captivate;normal;100;
stealth-rock;rock;;
grass-knot;grass;100;
bug-bite;bug;100;60
charge-beam;electric;90;50
ominous-wind;ghost;100;60
hone-claws;dark;;
wonder-room;psychic;;
psyshock;psychic;100;80
venoshock;poison;100;65
telekinesis;psychic;;
magic-room;psychic;;
smack-down;rock;100;50
sludge-wave;poison;100;95
flame-charge;fire;100;50
low-sweep;fighting;100;65
foul-play;dark;100;95
after-you;normal;;
round;normal;100;60
echoed-voice;normal;100;40
ally-switch;psychic;;
scald;water;100;80
sky-drop;flying;100;60
incinerate;fire;100;60
quash;dark;100;
acrobatics;flying;100;55
reflect-type;normal;;
retaliate;normal;100;70
volt-switch;electric;100;70
struggle-bug;bug;100;50
bulldoze;ground;100;60
frost-breath;ice;90;60
dragon-tail;dragon;90;60
work-up;normal;;
electroweb;electric;95;55
wild-charge;electric;100;90
drill-run;ground;95;80
dual-chop;dragon;90;40
snarl;dark;95;55
confide;normal;;
dazzling-gleam;fairy;100;80
infestation;bug;100;20
power-up-punch;fighting;100;40
=======
sky-attack;flying;90;140
protect;normal;;
after-you;normal;;
swift;normal;;60
>>>>>>> origin/master
